"date","product","category","quantity","unit_price","discount"
"2026-05-01","Coffee","Beverages",50,80,0
"2026-05-01","Tea","Beverages",41,50,0
"2026-05-01","Cold Brew","Beverages",16,120,0
"2026-05-01","Smoothie","Beverages",21,140,0
"2026-05-01","Croissant","Bakery",36,90,0
"2026-05-01","Chocolate Muffin","Bakery",31,75,10
"2026-05-01","Blueberry Scone","Bakery",18,85,0
"2026-05-01","Grilled Sandwich","Snacks",36,150,20
"2026-05-01","Bagel & Cream Cheese","Snacks",21,110,0
"2026-05-01","Veggie Wrap","Snacks",20,130,0
"2026-05-02","Coffee","Beverages",62,80,10
"2026-05-02","Tea","Beverages",45,50,0
"2026-05-02","Cold Brew","Beverages",21,120,0
"2026-05-02","Smoothie","Beverages",21,140,0
"2026-05-02","Croissant","Bakery",48,90,0
"2026-05-02","Chocolate Muffin","Bakery",42,75,0
"2026-05-02","Blueberry Scone","Bakery",24,85,0
"2026-05-02","Grilled Sandwich","Snacks",34,150,0
"2026-05-02","Bagel & Cream Cheese","Snacks",27,110,0
"2026-05-02","Veggie Wrap","Snacks",24,130,0
"2026-05-03","Coffee","Beverages",52,80,0
"2026-05-03","Tea","Beverages",41,50,0
"2026-05-03","Cold Brew","Beverages",14,120,0
"2026-05-03","Smoothie","Beverages",19,140,0
"2026-05-03","Croissant","Bakery",37,90,0
"2026-05-03","Chocolate Muffin","Bakery",30,75,0
"2026-05-03","Blueberry Scone","Bakery",17,85,0
"2026-05-03","Grilled Sandwich","Snacks",35,150,0
"2026-05-03","Bagel & Cream Cheese","Snacks",20,110,0
"2026-05-03","Veggie Wrap","Snacks",20,130,0
"2026-05-04","Coffee","Beverages",39,80,0
"2026-05-04","Tea","Beverages",27,50,0
"2026-05-04","Cold Brew","Beverages",12,120,0
"2026-05-04","Smoothie","Beverages",12,140,0
"2026-05-04","Croissant","Bakery",29,90,0
"2026-05-04","Chocolate Muffin","Bakery",20,75,0
"2026-05-04","Blueberry Scone","Bakery",16,85,0
"2026-05-04","Grilled Sandwich","Snacks",22,150,5
"2026-05-04","Bagel & Cream Cheese","Snacks",17,110,0
"2026-05-04","Veggie Wrap","Snacks",12,130,0
"2026-05-05","Coffee","Beverages",38,80,0
"2026-05-05","Tea","Beverages",35,50,0
"2026-05-05","Cold Brew","Beverages",16,120,0
"2026-05-05","Smoothie","Beverages",20,140,0
"2026-05-05","Croissant","Bakery",28,90,0
"2026-05-05","Chocolate Muffin","Bakery",22,75,10
